index,Year,Month,State,Species,Location,normalized_food,Illnesses,Hospitalizations,Fatalities,Are_there_Hospitalizations,Are_there_Fatalities,Log_Illnesses,Most_common_Location,Most_common_Species
18702,2015,May,NC,salmonella enterica,banquet facility (food prepared and served on-site),pork bbq,19.0,0.0,0.0,0,0,2.9444389791664403,banquet facility (food prepared and served on-site),salmonella enterica
18703,2015,June,NC,salmonella enterica,restaurant - sit-down dining,pork bbq,283.0,27.0,1.0,1,1,5.645446897643238,restaurant - sit-down dining,salmonella enterica
18704,2015,September,FL,ciguatoxin,private home/residence,fish amberjack,6.0,0.0,0.0,0,0,1.791759469228055,private home/residence,bulk_Species
18705,2015,September,FL,ciguatoxin,private home/residence,fish baracuda,5.0,0.0,0.0,0,0,1.6094379124341003,private home/residence,bulk_Species
18706,2015,August,NC,norovirus,restaurant - sit-down dining,fried rice,18.0,0.0,0.0,0,0,2.8903717578961645,restaurant - sit-down dining,norovirus
18707,2015,September,OH,bacillus cereus,"restaurant - ""fast-food""(drive up service or pay at counter)",fried rice,3.0,0.0,0.0,0,0,1.0986122886681098,"restaurant - ""fast-food""(drive up service or pay at counter)",bacillus cereus
18708,2015,September,OH,bacillus cereus,restaurant - buffet,fried rice,3.0,0.0,0.0,0,0,1.0986122886681098,bulk_Location,bacillus cereus
18709,2015,May,AL,salmonella enterica,restaurant - sit-down dining,oyster raw,8.0,0.0,0.0,0,0,2.0794415416798357,restaurant - sit-down dining,salmonella enterica
18710,2014,December,WA,norovirus,banquet facility (food prepared and served on-site),oyster raw,16.0,0.0,0.0,0,0,2.772588722239781,banquet facility (food prepared and served on-site),norovirus
18711,2015,October,MN,norovirus genogroup ii,restaurant - sit-down dining,oyster raw,9.0,0.0,0.0,0,0,2.1972245773362196,restaurant - sit-down dining,norovirus genogroup ii
18712,2015,January,CO,staphylococcus,restaurant - sit-down dining,oyster raw,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,bulk_Species
18713,2015,March,WA,staphylococcus,grocery store; private home/residence,oyster raw,5.0,0.0,0.0,0,0,1.6094379124341003,bulk_Location,bulk_Species
18714,2015,September,HI,norovirus genogroup i; norovirus genogroup ii,restaurant - sit-down dining,oyster raw,10.0,0.0,0.0,0,0,2.302585092994046,restaurant - sit-down dining,bulk_Species
18715,2015,March,WA,norovirus,restaurant - sit-down dining,cake cheesecake,4.0,0.0,0.0,0,0,1.3862943611198906,restaurant - sit-down dining,norovirus
18716,2015,April,WA,norovirus,restaurant - sit-down dining,cake cheesecake,3.0,0.0,0.0,0,0,1.0986122886681098,restaurant - sit-down dining,norovirus
18717,2015,August,UT,salmonella enterica,restaurant - sit-down dining,cake cheesecake,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,salmonella enterica
18718,2015,July,CO,salmonella enterica,private home/residence,cake cheesecake,14.0,0.0,0.0,0,0,2.6390573296152584,private home/residence,salmonella enterica
18719,2015,September,MN,"escherichia coli, shiga toxin-producing","restaurant - ""fast-food""(drive up service or pay at counter)",chicken rotisserie,7.0,0.0,0.0,0,0,1.9459101490553132,"restaurant - ""fast-food""(drive up service or pay at counter)","escherichia coli, shiga toxin-producing"
18720,2015,September,KS,salmonella enterica,restaurant - sit-down dining,chicken rotisserie,2.0,0.0,0.0,0,0,0.6931471805599453,restaurant - sit-down dining,salmonella enterica
18721,2015,September,KS,salmonella enterica,grocery store,chicken rotisserie,2.0,1.0,0.0,1,0,0.6931471805599453,grocery store,salmonella enterica
